msg,delivered_at_date,delivered_at_tmsp,id_contact,id_conversation
"Bonjour Matthieu, 
Avec plaisir.
Cordialement
Ralph ",01-12-22,1669919240044,ACoAAABp794BrGWgiPNhc1QdtTX2Q4AauH42nh8,2-MjA0ZTJjZmMtODEwMi00OWI1LWIyZmQtZjU1NzFmNTJjMGQ5XzAxMg==
"Bonjour Matthieu, merci d’avoir pris contact avec moi. J’aimerais en savoir plus.",29-11-22,1669735842873,ACoAAAFzp-IBhgPL-6vdVbJGs6FxY_EZtPcbQO0,2-ZDI4ZmIzZWMtMzViZi00ZjkwLTg0YmItNTMwYzg2NWM2YzcyXzAxMg==
"Cher Matthieu,
Je suis chasseur de têtes depuis plus de 20 ans sur votre Business.  
J'ai toujours plusieurs postes qui vous correspondent.  
Je pense par ex à Devoteam, CGI, Magellan, Keyrus ...et j'en passe sur des postes de Business Manager en Conseil   

Vous pouvez m'aider...vous avez sûrement ces profils dans votre réseaux   

à titre d'ex et non exhaustif   

Urgence 4.  :  
Un Business Manager Confirmé pour une ESN (>800P en France) 
Embarqué : 25 etp sur des comptes référencés à Paris
Sujets : SMAC  Cloud, data, devops, transfo Cyber sécurité 
Fixe 55K€ (négociable) + 30 K€ de variable sans plafond. 

Urgence 8 : 
3 Business Managers Confirmés (1 sur la BFA, 1 sur les Retail & Service et 1 sur l’Energie) à Paris pour une grosse ESN (>8Kp)  
Embarqué : 10 à 50 ETP sur des comptes référencés à Paris
Management : encadrement de BM jr possible  
Sujets : Cloud, data, devops, transfo  cyber sécurité
Fixe 55K€ (négociable) + 30K€ de variable sans plafond  

Urgence 7 :  
Des Business Mangers et Directeur d’Agence sur les comptes BNP, SG, CA ou LBP à Paris pour ESN (>90KP)
Embarqué : gros :) sur des comptes référencés à Paris
Management : possibilité d’encadrer des BM  
Sujets : Cloud, data, devops, transfo et Cyber sécurité
Fixe entre 45K€ et 100K€ et 20 à 50 K€ de com

Urgence 1 :  Des Business Managers juniors et confirmés
M-Cloud (l’intégrateur Microsoft du Devoteam) 
G-Cloud (l’intégrateur Google de Devoteam), 
S-Cloud (l’intégrateur Salesforce de Devoteam) 
Pas de vente d’AT ni de Forfait. 
C’est de l’intégration Google, Microsoft, AWS, Salesforce, ServiceNow and co.  
Rém : 60K€ (Négociable+30K€)

Et j’en passe et des meilleurs, ma liste d’urgence s’accroit depuis 20 ans.   

Puis-je vous faire une demande de mise en relation directe pour faciliter nos échanges même à plus long terme ?  

Socialement Vôtre

Marc Bodin d'ANOA
0665071113
marcbodin@me.com
75015 Paris",28-11-22,1669646514476,ACoAAABveKYBJD1WqD6V7oQIgDnY_039u76rsgk,2-Y2JlM2FlZTQtYTg5Yy00ZWVlLTkxNzAtNjAxZDU0NDEzZjFlXzAxMg==
"Bonjour Matthieu,
Bienvenue à mon réseau.
Cdt,
Malek",25-11-22,1669362466926,ACoAAALKT6UBatY1NsMg6cJaPB0dsWfpt64G0rQ,2-NjkwZjI5NTItNDkwZi00M2YyLTgwOWMtMjg4MDkxMDAyY2ViXzAxMg==
"Bonjour Matthieu, merci d’avoir pris contact avec moi. J’aimerais en savoir plus.",23-11-22,1669232317942,ACoAAAx__RgBJld6wpwMrIEqTkcBRmQ7rI6LODU,2-NzYyNjMxZTItZDlhMy00ODBkLTkyNDItZGFmNTM2ZTk2ODZjXzAxMg==
"Bonjour Matthieu,

Merci pour votre message.
Par curiosité, qui est notre réseau commun ?

Cdt
Florent",23-11-22,1669201411307,ACoAAAoCrXkBSYtdIIVfIwGvFuuaxqC8syEQZv4,2-YjNjMDJkOTYtMTJlMy00Mzc2LTgxMjgtMWRlMWUxMzQ0MjlmXzAxMg==
"Bonjour Matthieu,",17-11-22,1668684364275,ACoAACGOgLcBDso6JpymT5l0mmzKJtYyieZG5_8,2-Yzg2OGVhOWUtMjc5MS00OWExLTliYjgtZDIyZDdkZGY5MDg3XzAxMg==
"Bonjour Matthieu,

Sauf erreur de ma part nous n'avons pas de réseau commun donc il faudra vérifier pour les prochains et éviter les copier coller ;)
Pour quelle raison voulez-vous parler de mes projets ?

Cordialement,
Florian ",21-11-22,1668995436947,ACoAABzCl6YBlurunBdgLt8uHubrBg9tSJDbt20,2-MDRkNmQ1ODAtZTVmMy00ZGVmLWE5NDEtYzM5MmM3MmU5NzNiXzAxMg==
"Bonjour, merci pour l’intérêt que vous portez à mon profil.",21-11-22,1669026806020,ACoAACv-YpoBZMdzHcGFL9N7PbP1Qtjur11IKYo,2-ZWI5NjBlYWUtNzg4Mi00YTQzLWJiNTItZWUxMmY3ODVlMTQ0XzAxMg==
"Bonsoir Matthieu,
Merci pour votre proposition de connexion mais je ne vois pas comment vous pouvez entendre parler de moi dans votre réseau sachant que nous n’avons aucun contact en commun.
Pouvez vous m’en dire plus?
",20-11-22,1668969244115,ACoAAAozndYBzgcupscDf47VK7pLleK51VNfTfk,2-YjA1ZTkxN2ItYTViNi00NWEyLWE3ODUtOGI4YmUxOWM0YjY2XzAxMg==
👍,17-11-22,1668695679117,ACoAAAFUNcwBTFcOVu1nW9ylBR-l9xdZ_TuyAxc,2-OWM3MmFkYWQtNzBjMy00ZTE1LWJkY2MtMDZiZmU5MTM1MWQ1XzAxMg==
"Bonjour Matthieu,

Merci d’avoir pris contact avec moi, mais je ne suis pas à la recherche d’une nouvelle opportunité pour l’instant.

Bonne journée,

Vijay Sankar",14-11-22,1668455519760,ACoAACNJQpkBtHf2yjct4SYoQQvn4iKeQ4xP_XA,2-ZTE0MGY2YTYtNTk2Zi00MjA4LTgzZDAtZjE3MjNhNDExMWU0XzAxMg==
"Bonjour Matthieu,

Merci de votre message. Avec grand plaisir.

Bien cordialement,

Karim",12-11-22,1668269290693,ACoAAAOAeY4B9DbVBLmPHAWXV4XAUSaaz7LRr7o,2-ZmJmNWU0ODQtYWQ0ZS00ODQ3LTk5YTgtNGFlYTZmODEzMTY4XzAxMg==
"Bonjour Matthieu,
Pas de soucis. Invitation acceptée 😀
Au plaisir.
Pierre",08-11-22,1667916466775,ACoAACBDXrwBOjnSWGuNEuhudIgfPX1I7Qa4OAw,2-NTE5MmE5ZWMtZTY3Yy00ZmRiLWEzYTMtODZlMWNiNmJmYTk1XzAxMg==
"Bonjour Matthieu, je suis surprise par votre message et du fait que vous entendez parler de moi via notre réseau commun ?",08-11-22,1667904343046,ACoAABN8FgsBgkEEtsqveBCtxBzkOlREZHUpxz8,2-YjVhNTAxYzEtMTY2Zi00NmIzLWI3M2MtMjg1MGIzY2Y4OGNiXzAxMg==
"Bonjour Matthieu,

Je serais ravi de discuter avec vous de tout sujet qui vous intéresse dans le domaine. Nous pouvons organiser un appel vidéo ou prendre un café quelque part près de vos bureaux. Contactez-moi quand vous voulez.

Cdt
Charris",07-11-22,1667839280319,ACoAAAgscY8BS1m5YRG0A2i2S25wwhbUXzY9Ia0,2-NmY3MmQ2NTktZDk5MC00ZGRiLTg3YmItNWE3ZjE2ZmNiMzIyXzAxMg==
"Bonjour,
Merci pour votre intérêt à mon profil.
Ce serait un plaisirs d’échanger avec vous sur ces sujets.
Cordialement,
Souhir",07-11-22,1667835362554,ACoAACO_OscBg5kHyZNq_FFgxd154u0ktNY93O0,2-MWQxYzdkYmUtNGQ3Mi00ZmI3LTllNTQtOWI0MjJiNGVmNmE5XzAxMg==
"Bonjour Matthieu,

Je suis Eugene, de l’équipe LinkedIn Sales Solutions.

Merci de compter parmi les membres actifs de LinkedIn. Je vous propose d’essayer gratuitement LinkedIn Sales Navigator pendant 30 jours !

Qu’en dites-vous ?",02-11-22,1667372300412,ACoAABGlEQwBXbIjLUVIHs_JyRKObuos3aMVZPk,2-YzQ2ZjM3OTctYzJlZi00Mjc5LWJjNWYtMDRhZTMyYWIwYzYyXzAxMg==
"Salut matthieu !
Comment ça va ?",14-12-22,1671011084782,ACoAACU-FGABg03KDDxLMK7c8aCG_a4DOTBOQzw,2-Mzg4YzU4MDAtNDg1Yy00MDczLWE2MjYtNTVjOTU4ZjZmNjRkXzAxMg==
"Bonjour,

Merci de votre intérêt.
Pour quel type de poste me contactez-vous et quelles compétences recherchez vous ?

Sincèrement,
Yoann Périn",08-12-22,1670536261345,ACoAAAul51oB9ugYWryACCNUbzg7W4hoxj0v1lg,2-YTY0NWJkYzgtMTBiMi00NWFlLWIzMDQtYzI5NTcwZTZmNTQwXzAxMg==
"Bonjour Matthieu :)
Merci de l'intérêt que vous portez à mon profil, avec plaisir de pouvoir éventuellement discuter avec vous.

Cordialement,
Johan",08-12-22,1670492672059,ACoAACqESiABxgS00i7odj0i7X-0_yDvFNg2ZLM,2-ZTgzZjhmNmMtMDUwMy00NzdjLTllNDItOThmOGJlYWNiZDhmXzAxMg==
"Bonjour Matthieu,

Je suis Eugene, de l’équipe LinkedIn Sales Solutions.

Merci de compter parmi les membres actifs de LinkedIn. Je vous propose d’essayer gratuitement LinkedIn Sales Navigator pendant 30 jours !

Qu’en dites-vous ?",07-12-22,1670428485054,ACoAABGlEQwBXbIjLUVIHs_JyRKObuos3aMVZPk,2-Yzg4YzZiNjItMTNmOS00N2I4LTlhMDYtY2E4NTBlMzZjMzJhXzAxMg==
